datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,hour,day,month,day_of_week,weekend,hour_sin,hour_cos,dow_sin,dow_cos,aqi_lag_1,aqi_lag_3,aqi_lag_6,aqi_lag_12,aqi_lag_24,aqi_rolling_mean_3,aqi_rolling_mean_6,aqi_rolling_mean_12,aqi_rolling_std_6,aqi_change,aqi_pct_change,pm25_pm10_ratio,no2_so2_ratio,co_no2_ratio,o3_no2_ratio,aqi_class,aqi_category
2026-05-12 17:37:34.401042,57,124.189,0.01,0.098,67.52,0.38,35.19,119.966,0,17,12,5,1,0.0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,365.0,230.0,119.0,114.0,144.0,190.0,195.5,197.08333333333334,118.11985438528104,-308.0,1800.0,0.2909081890779227,0.07101449275362319,113.1047358834244,61.49362477231329,2.0,Moderate
2026-05-12 17:37:39.607750,225,232.481808,0.01,0.2140319999999999,67.52,0.38,96.0687,262.00574399999994,0,17,12,5,1,0.0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,57.0,148.0,282.0,239.0,220.0,215.66666666666666,186.0,195.91666666666666,111.89995531723862,168.0,14.213197969543144,0.3652722504798223,0.15509565217391297,191.49561790792993,55.616326423026734,5.0,Very Unhealthy
2026-05-12 17:37:44.840621,89,124.189,0.01,0.098,67.52,0.38,35.19,119.966,0,17,12,5,1,0.0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,225.0,365.0,91.0,127.0,99.0,123.66666666666667,185.66666666666666,192.75,112.24200045734514,-136.0,2866.666666666667,0.2909081890779227,0.07101449275362319,113.1047358834244,61.49362477231329,2.0,Moderate
2026-05-12 17:37:50.015519,258,232.481808,0.01,0.2140319999999999,67.52,0.38,96.0687,262.00574399999994,0,17,12,5,1,0.0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,89.0,57.0,230.0,170.0,218.0,190.66666666666666,190.33333333333334,200.08333333333334,115.00202896760851,169.0,31.63265306122449,0.3652722504798223,0.15509565217391297,191.49561790792993,55.616326423026734,5.0,Very Unhealthy
2026-05-12 17:37:55.230588,132,161.44570000000002,0.01,0.1372,67.52,0.38,52.785,167.95239999999998,0,17,12,5,1,0.0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,258.0,225.0,148.0,66.0,110.0,159.66666666666666,187.66666666666666,205.58333333333334,116.35749510309452,-126.0,46.66666666666666,0.31242527481113025,0.09942028985507247,141.96772775237426,59.37390080900457,3.0,Unhealthy for Sensitive
2026-05-12 17:38:00.433890,380,278.9781696,0.01,0.2568383999999999,67.52,0.38,124.88931,314.4068927999999,0,17,12,5,1,0.0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,132.0,89.0,365.0,471.0,316.0,256.6666666666667,190.16666666666666,198.0,120.99820935314153,248.0,34.275618374558306,0.3959625260288542,0.1861147826086956,221.96820975552626,53.72210142529063,6.0,Hazardous
2026-05-12 17:38:05.637293,3,95.53,0.01,0.07,67.52,0.38,23.46,85.69,0,17,12,5,1,0.0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,380.0,258.0,57.0,119.0,144.0,171.66666666666666,181.16666666666666,188.33333333333334,134.17513430836084,-377.0,-95.77464788732397,0.27061944860998965,0.05072463768115943,89.28037383177569,63.10280373831775,1.0,Good
2026-05-12 17:38:10.800747,228,232.481808,0.01,0.2140319999999999,67.52,0.38,96.0687,262.00574399999994,0,17,12,5,1,0.0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,3.0,132.0,225.0,282.0,221.0,203.66666666666666,181.66666666666666,183.83333333333334,134.3765852619669,225.0,41.61490683229814,0.3652722504798223,0.15509565217391297,191.49561790792993,55.616326423026734,5.0,Very Unhealthy
2026-05-12 17:38:16.020226,121,161.44570000000002,0.01,0.1372,67.52,0.38,52.785,167.95239999999998,0,17,12,5,1,0.0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,228.0,380.0,89.0,91.0,99.0,117.33333333333333,187.0,186.33333333333334,130.54347934692103,-107.0,3933.3333333333335,0.31242527481113025,0.09942028985507247,141.96772775237426,59.37390080900457,3.0,Unhealthy for Sensitive
2026-05-12 17:38:21.244046,250,232.481808,0.01,0.2140319999999999,67.52,0.38,96.0687,262.00574399999994,0,17,12,5,1,0.0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,121.0,3.0,258.0,230.0,258.0,199.66666666666666,185.66666666666666,188.0,129.71147469158873,129.0,53.37423312883436,0.3652722504798223,0.15509565217391297,191.49561790792993,55.616326423026734,5.0,Very Unhealthy
2026-05-12 17:38:26.450156,230,232.481808,0.01,0.2140319999999999,67.52,0.38,96.0687,262.00574399999994,0,17,12,5,1,0.0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,250.0,228.0,132.0,148.0,57.0,200.33333333333334,202.0,194.83333333333334,127.75758294520132,-20.0,35.29411764705883,0.3652722504798223,0.15509565217391297,191.49561790792993,55.616326423026734,5.0,Very Unhealthy
2026-05-12 17:38:31.667497,125,161.44570000000002,0.01,0.1372,67.52,0.38,52.785,167.95239999999998,0,17,12,5,1,0.0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,230.0,121.0,380.0,365.0,388.0,201.66666666666666,159.5,174.83333333333334,94.88677463166297,-105.0,4066.6666666666665,0.31242527481113025,0.09942028985507247,141.96772775237426,59.37390080900457,3.0,Unhealthy for Sensitive
2026-05-12 17:38:36.853225,58,124.189,0.01,0.098,67.52,0.38,35.19,119.966,0,17,12,5,1,0.0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,125.0,250.0,3.0,57.0,114.0,137.66666666666666,168.66666666666666,174.91666666666666,77.87596976389229,-67.0,1833.3333333333333,0.2909081890779227,0.07101449275362319,113.1047358834244,61.49362477231329,2.0,Moderate
